url,name,Style,Colorway,Retail Price,Release Date
https://stockx.com//adidas-yeezy-boost-350-v2-asriel,adidas Yeezy Boost 350 V2 Carbon, FZ5000 , Carbon/Carbon/Carbon , $220 , 10/02/2020 
https://stockx.com//adidas-yeezy-boost-350-v2-zyon,adidas Yeezy Boost 350 V2 Zyon, FZ1267 , Zyon/Zyon/Zyon , $220 , 07/18/2020 
https://stockx.com//adidas-yeezy-boost-350-v2-cinder,adidas Yeezy Boost 350 V2 Cinder, FY2903 , Cinder/Cinder/Cinder , $220 , 03/21/2020 
https://stockx.com//adidas-yeezy-boost-350-v2-desert-sage,adidas Yeezy Boost 350 V2 Desert Sage, FX9035 , Desert Sage/Desert Sage/Desert Sage , $220 , 03/14/2020 
https://stockx.com//adidas-yeezy-boost-350-v2-white-core-black-red,adidas Yeezy Boost 350 V2 Zebra, CP9654 ,, $220 , 02/25/2017 
https://stockx.com//adidas-yeezy-boost-350-v2-yecheil,adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective), FW5190 , Yecheil/Yecheil/Yecheil , $220 , 12/20/2019 
https://stockx.com//adidas-yeezy-boost-350-v2-earth,adidas Yeezy Boost 350 V2 Earth, FX9033 , Earth/Earth/Earth , $220 , 02/22/2020 
https://stockx.com//adidas-yeezy-boost-350-v2-yeezreel,adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective), FW5191 , Yeezreel/Yeezreel/Yeezreel , $220 , 12/14/2019 
https://stockx.com//adidas-yeezy-boost-350-v2-tail-light,adidas Yeezy Boost 350 V2 Tail Light, FX9017 , Tail Light/Tail Light/Tail Light , $220 , 02/22/2020 
https://stockx.com//adidas-yeezy-boost-350-v2-cream-white,adidas Yeezy Boost 350 V2 Cream/Triple White, CP9366 ,, $220 , 04/29/2017 
https://stockx.com//adidas-yeezy-boost-350-v2-citrin,adidas Yeezy Boost 350 V2 Citrin (Non-Reflective), FW3042 , Citrin/Citrin/Citrin , $220 , 09/23/2019 
https://stockx.com//adidas-yeezy-boost-350-v2-cloud-white,adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective), FW3043 , Cloud White/Cloud White/Cloud White , $220 , 09/21/2019 
https://stockx.com//adidas-yeezy-boost-350-v2-linen,adidas Yeezy Boost 350 V2 Linen, FY5158 , Linen/Linen/Linen , $220 , 04/18/2020 
https://stockx.com//adidas-yeezy-boost-350-v2-sesame,adidas Yeezy Boost 350 V2 Sesame, F99710 , Sesame/Sesame/Sesame , $220 , 11/23/2018 
https://stockx.com//adidas-yeezy-boost-350-v2-semi-frozen-yellow,adidas Yeezy Boost 350 V2 Semi Frozen Yellow, B37572 ,, $220 , 11/18/2017 
https://stockx.com//adidas-yeezy-boost-350-v2-sulfur,adidas Yeezy Boost 350 V2 Sulfur, FY5346 , Sulfur/Sulfur/Sulfur , $220 , 05/09/2020 
